user_id,cluster,segment
R00000,1,Dormant
R00001,2,At-Risk
R00002,0,Champions
R00004,0,Champions
R00005,2,At-Risk
R00006,1,Dormant
R00007,0,Champions
R00009,1,Dormant
R00010,0,Champions
R00012,2,At-Risk
R00013,1,Dormant
R00014,0,Champions
R00015,0,Champions
R00016,2,At-Risk
R00017,2,At-Risk
R00020,0,Champions
R00021,2,At-Risk
R00022,2,At-Risk
R00023,2,At-Risk
R00025,2,At-Risk
R00026,2,At-Risk
R00027,0,Champions
R00029,3,Loyal Riders
R00030,3,Loyal Riders
R00031,0,Champions
R00032,2,At-Risk
R00033,0,Champions
R00034,0,Champions
R00035,2,At-Risk
R00036,2,At-Risk
R00037,1,Dormant
R00038,2,At-Risk
R00039,2,At-Risk
R00040,2,At-Risk
R00041,2,At-Risk
R00042,2,At-Risk
R00043,0,Champions
R00044,1,Dormant
R00045,1,Dormant
R00046,2,At-Risk
R00047,0,Champions
R00048,0,Champions
R00049,2,At-Risk
R00050,1,Dormant
R00051,2,At-Risk
R00052,0,Champions
R00053,2,At-Risk
R00054,2,At-Risk
R00055,0,Champions
R00056,1,Dormant
R00058,2,At-Risk
R00060,3,Loyal Riders
R00061,1,Dormant
R00062,1,Dormant
R00064,0,Champions
R00065,0,Champions
R00066,1,Dormant
R00067,1,Dormant
R00068,0,Champions
R00069,2,At-Risk
R00070,0,Champions
R00071,2,At-Risk
R00072,2,At-Risk
R00073,0,Champions
R00074,2,At-Risk
R00075,0,Champions
R00077,3,Loyal Riders
R00078,0,Champions
R00079,0,Champions
R00080,1,Dormant
R00081,1,Dormant
R00082,0,Champions
R00083,3,Loyal Riders
R00084,3,Loyal Riders
R00085,1,Dormant
R00086,3,Loyal Riders
R00087,2,At-Risk
R00088,2,At-Risk
R00089,3,Loyal Riders
R00090,0,Champions
R00091,1,Dormant
R00092,0,Champions
R00093,2,At-Risk
R00094,2,At-Risk
R00095,1,Dormant
R00096,0,Champions
R00097,1,Dormant
R00098,2,At-Risk
R00099,0,Champions
R00100,0,Champions
R00101,0,Champions
R00102,2,At-Risk
R00104,0,Champions
R00105,0,Champions
R00106,0,Champions
R00108,2,At-Risk
R00109,2,At-Risk
R00110,1,Dormant
R00111,2,At-Risk
R00112,0,Champions
R00113,0,Champions
R00114,0,Champions
R00115,2,At-Risk
R00116,0,Champions
R00117,0,Champions
R00118,1,Dormant
R00119,2,At-Risk
R00120,3,Loyal Riders
R00121,2,At-Risk
R00122,1,Dormant
R00123,2,At-Risk
R00124,0,Champions
R00125,0,Champions
R00126,0,Champions
R00127,2,At-Risk
R00128,2,At-Risk
R00129,0,Champions
R00130,2,At-Risk
R00131,0,Champions
R00132,2,At-Risk
R00133,0,Champions
R00134,1,Dormant
R00135,1,Dormant
R00136,3,Loyal Riders
R00137,2,At-Risk
R00138,1,Dormant
R00139,1,Dormant
R00140,0,Champions
R00141,1,Dormant
R00142,0,Champions
R00144,0,Champions
R00145,0,Champions
R00146,0,Champions
R00147,0,Champions
R00148,2,At-Risk
R00149,1,Dormant
R00150,1,Dormant
R00151,0,Champions
R00152,1,Dormant
R00153,2,At-Risk
R00154,2,At-Risk
R00155,0,Champions
R00157,3,Loyal Riders
R00158,2,At-Risk
R00159,0,Champions
R00160,2,At-Risk
R00162,0,Champions
R00163,2,At-Risk
R00164,0,Champions
R00165,0,Champions
R00166,2,At-Risk
R00167,3,Loyal Riders
R00168,0,Champions
R00169,2,At-Risk
R00170,2,At-Risk
R00171,2,At-Risk
R00172,2,At-Risk
R00173,1,Dormant
R00174,0,Champions
R00175,2,At-Risk
R00176,2,At-Risk
R00177,1,Dormant
R00178,0,Champions
R00179,1,Dormant
R00180,2,At-Risk
R00182,2,At-Risk
R00183,0,Champions
R00184,0,Champions
R00185,2,At-Risk
R00186,2,At-Risk
R00187,1,Dormant
R00188,2,At-Risk
R00190,1,Dormant
R00191,2,At-Risk
R00192,3,Loyal Riders
R00193,0,Champions
R00195,0,Champions
R00196,0,Champions
R00197,1,Dormant
R00198,2,At-Risk
